ont	gene
GOBP_CELL_AGING	TERT
GOBP_CELL_AGING	TP53
GOBP_CELL_AGING	TP63
GOBP_CELL_AGING	TWIST1
GOBP_CELL_AGING	ULK3
GOBP_CELL_AGING	VASH1
GOBP_CELL_AGING	WNT1
GOBP_CELL_AGING	WNT16
GOBP_CELL_AGING	WRN
GOBP_CELL_AGING	YBX1
GOBP_CELL_AGING	YPEL3
GOBP_CELL_AGING	ZKSCAN3
GOBP_CELL_AGING	ZMIZ1
GOBP_CELL_AGING	ZMPSTE24
GOBP_CELL_AGING	ZNF277
GOBP_CELLULAR_SENESCENCE	ABI3
GOBP_CELLULAR_SENESCENCE	ABL1
GOBP_CELLULAR_SENESCENCE	AKT3
GOBP_CELLULAR_SENESCENCE	ARG2
GOBP_CELLULAR_SENESCENCE	ARNTL
GOBP_CELLULAR_SENESCENCE	ATM
GOBP_CELLULAR_SENESCENCE	B2M
GOBP_CELLULAR_SENESCENCE	BCL6
GOBP_CELLULAR_SENESCENCE	BMPR1A
GOBP_CELLULAR_SENESCENCE	CALR
GOBP_CELLULAR_SENESCENCE	CDK2
GOBP_CELLULAR_SENESCENCE	CDK6
GOBP_CELLULAR_SENESCENCE	CDKN1A
GOBP_CELLULAR_SENESCENCE	CDKN1B
GOBP_CELLULAR_SENESCENCE	CDKN2A
GOBP_CELLULAR_SENESCENCE	CDKN2B
GOBP_CELLULAR_SENESCENCE	CGAS
GOBP_CELLULAR_SENESCENCE	ECRG4
GOBP_CELLULAR_SENESCENCE	EEF1E1
GOBP_CELLULAR_SENESCENCE	FBXO5
GOBP_CELLULAR_SENESCENCE	H2AX
GOBP_CELLULAR_SENESCENCE	HLA-G
GOBP_CELLULAR_SENESCENCE	HMGA1
GOBP_CELLULAR_SENESCENCE	HMGA2
GOBP_CELLULAR_SENESCENCE	HRAS
GOBP_CELLULAR_SENESCENCE	ID2
GOBP_CELLULAR_SENESCENCE	IGF1R
GOBP_CELLULAR_SENESCENCE	ING2
GOBP_CELLULAR_SENESCENCE	KAT5
GOBP_CELLULAR_SENESCENCE	KAT6A
GOBP_CELLULAR_SENESCENCE	KIR2DL4
GOBP_CELLULAR_SENESCENCE	MAGEA2
GOBP_CELLULAR_SENESCENCE	MAGEA2B
GOBP_CELLULAR_SENESCENCE	MAP2K1
GOBP_CELLULAR_SENESCENCE	MAP2K3
GOBP_CELLULAR_SENESCENCE	MAP2K4
GOBP_CELLULAR_SENESCENCE	MAP2K6
GOBP_CELLULAR_SENESCENCE	MAP2K7
GOBP_CELLULAR_SENESCENCE	MAP3K3
GOBP_CELLULAR_SENESCENCE	MAP3K5
GOBP_CELLULAR_SENESCENCE	MAPK10
GOBP_CELLULAR_SENESCENCE	MAPK11
GOBP_CELLULAR_SENESCENCE	MAPK14
