T cells	CD8 T cells	Cytotoxic lymphocytes	B lineage	NK cells	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts	Risk
TCGA-BH-A0BL-01	2.79213503587162	2.58439671256242	2.11434855524923	2.92944929318212	0.772984137484191	4.66056616879334	3.40640940643629	2.02552900068225	3.85585989456058	8.78153254234069	Low
TCGA-BH-A0E0-01	1.63357082308048	0.623498875723438	0.464034396327144	0.722613575562254	0.0766897601793949	2.86760006702569	3.18192664826704	1.54248985850491	2.29517179883732	5.21876423474885	High
TCGA-BH-A0RX-01	2.72462568099711	3.87706563795356	2.36455480616868	3.09525009139396	0.982350718634674	4.35625153449934	2.3242843628368	1.45564806664505	3.67202050013831	7.50257416463649	Low
TCGA-BH-A0WA-01	1.96466978432379	2.25212318099617	1.76299393286299	0.785490753090716	0.267058711700114	3.77929356855439	2.89787664651229	1.5564875968177	3.34407105058353	7.52732587020067	Low
TCGA-BH-A18G-01	0.834472441780749	1.0108028167429	1.02778928350483	0.132433640756202	0.352396335425675	2.26321401137396	0.671514152285889	1.57062214155829	1.76596772503636	6.9669474461571	Low
TCGA-BH-A18V-01	2.63982748363869	4.507186374727	1.63966642172458	1.11340135348478	0.596485814218148	4.65829844665511	3.03038871811592	2.08936280627067	3.23798455137988	7.27188504187169	High
TCGA-BH-A1EW-01	2.38706921242468	3.07758507405302	1.71530632267596	1.16831625858209	0.521141850082842	3.56729250274504	2.14066211161381	2.19765696832112	4.05362942705863	7.2984322681353	High
TCGA-BH-A1F6-01	2.06745103871912	6.95347451407536	1.69996054395019	1.41790494384121	0.556394382126582	4.3212049316598	1.69395352615271	1.70861218206306	2.90798386006424	7.15826840740831	Low
TCGA-BH-A1FC-01	2.72428317304394	3.59447383434483	1.97735213155375	2.10148951993187	0.810498004127766	3.85982948409862	1.44107098753054	1.35061990563993	2.03770785235557	6.0570485619442	High
TCGA-BH-A42U-01	2.5562481617725	2.82698438992735	1.59117402430459	2.94239573400741	0.346360809653773	3.07808977687492	2.55182977042316	1.90761061551369	3.79507678781609	8.09596183398073	High
TCGA-C8-A12V-01	3.99851269725526	4.89035435005291	3.29973992838524	3.77748015804947	1.38109419505418	5.57554087223149	4.5121921691287	1.6557291903442	3.28100304776473	6.66981895888913	Low
