p.value	HR	Low 95%CI	High 95%CI	coef	Gene	type
0.159923081823563	1.39195934793426	0.877638626580987	2.20768636158334	0.330712357415567	NBL1	None
0.159923081823563	1.39195934793426	0.877638626580987	2.20768636158334	0.330712357415567	MICOS10__NBL1	None
0.275216451944098	1.267214161875	0.828139176657254	1.93908436808706	0.236820917737644	KCNE4	None
0.37485069722309	1.21647457979639	0.789122669464092	1.87526028658607	0.195956986842583	MMRN1	None
0.0392916247941757	1.71002316617012	1.02668041594357	2.84818837822186	0.536506917890707	CTSK	Risk
0.488834973967802	1.18674957705541	0.730802648294765	1.92716126840462	0.171218122060273	TEK	None
0.149711632472205	1.56101309670856	0.851656045573673	2.86120423938782	0.44533503144593	SPARC	None
0.650157955431298	1.10680741249689	0.71386601073462	1.71604002703172	0.101479666140673	ITIH5	None
0.043942435366688	1.64463024010317	1.01359369402562	2.66853340012337	0.497515580898176	RARRES2	Risk
0.252057622861213	1.21051834821821	0.872950768612352	1.6786223508369	0.191048654834352	MEDAG	None
0.0429391608087428	1.57259989781617	1.01449290619785	2.43774049429294	0.452730235597639	ID3	Risk
0.0160637719560572	1.75884507174552	1.11066456546788	2.78530177569887	0.564657384415044	PCOLCE	Risk
0.0555498964179532	1.63155783583308	0.988455203905625	2.69307193806073	0.489535285906883	COL6A1	None
0.102216817330413	1.30841692804468	0.94782390415943	1.80619506437972	0.268817954572014	COL14A1	None
0.0207899896305555	1.83388691285475	1.09668217298016	3.06665075078299	0.606437710458074	TGFB3	Risk
0.0453324599191695	1.70214612090741	1.01111400339844	2.8654547431665	0.531889878938107	COL6A2	Risk
0.501065488300953	1.13654021831508	0.78281947598425	1.65009137799438	0.127988751555049	ADRA2A	None
0.835539957918317	1.05607653632603	0.630939368141662	1.76767801613542	0.0545606602391667	SOCS3	None
0.117802554191739	1.31882663497736	0.93234740286264	1.86551031062609	0.276742428384988	DPT	None
0.527974982681364	1.15224488287896	0.742009446486414	1.78928755746651	0.14171211162703	CCDC69	None
0.108242494663594	1.49477114596731	0.915255886412856	2.44121978562022	0.401973115504242	PRSS23	None
0.160152596989309	1.22035790628322	0.924273081065556	1.61129156516279	0.199144181527746	FOSB	None
0.273951020125144	1.32787669113758	0.798942220759471	2.20698876721065	0.283581193684078	PDPN	None
0.0925142399475135	1.53608744758627	0.931600338353537	2.53280784633708	0.429238565127228	LUM	None
0.181289045600458	1.35004464136432	0.869433361600723	2.0963314891907	0.30013765958089	FSTL3	None
0.994108865248956	0.99815435306683	0.611261851502638	1.62992686374435	-0.00184735223805473	COL15A1	None
0.0938235978746038	1.659630006707	0.917606862333523	3.00169045396823	0.506594689999431	GGT5	None
0.00774719381059797	1.57128844733557	1.12669425320648	2.1913197637281	0.451895949889823	PLAC9	Risk
0.336520345991192	1.23377963639106	0.803841354919117	1.89367240421017	0.210082332867972	FBN1	None
